ID;UF;LON;LAT;ANNUAL
1;RS;-535.490;-337.005;4444
2;RS;-534.490;-337.005;4446
3;RS;-533.490;-337.005;4452
4;RS;-532.490;-337.005;4468
5;RS;-535.490;-336.005;4454
6;RS;-534.490;-336.005;4451
7;RS;-533.490;-336.005;4441
8;RS;-532.490;-336.005;4437
9;RS;-531.490;-336.005;4422
10;RS;-535.490;-335.005;4486
11;RS;-534.490;-335.005;4475
12;RS;-533.490;-335.005;4439
13;RS;-532.490;-335.005;4447
14;RS;-531.490;-335.005;4448
15;RS;-530.490;-335.005;4425
16;RS;-529.490;-335.005;4469
17;RS;-535.490;-334.005;4497
18;RS;-534.490;-334.005;4479
19;RS;-533.490;-334.005;4439
20;RS;-532.490;-334.005;4437
21;RS;-531.490;-334.005;4441
22;RS;-530.490;-334.005;4432
23;RS;-529.490;-334.005;4389
24;RS;-528.490;-334.005;4414
25;RS;-535.490;-333.005;4512
26;RS;-534.490;-333.005;4481
27;RS;-533.490;-333.005;4449
28;RS;-532.490;-333.005;4422
29;RS;-531.490;-333.005;4421
30;RS;-530.490;-333.005;4438
31;RS;-529.490;-333.005;4440
32;RS;-528.490;-333.005;4385
33;RS;-527.490;-333.005;4396
34;RS;-535.490;-332.005;4532
35;RS;-534.490;-332.005;4508
36;RS;-533.490;-332.005;4469
37;RS;-532.490;-332.005;4432
38;RS;-531.490;-332.005;4422
39;RS;-530.490;-332.005;4429
40;RS;-529.490;-332.005;4433
41;RS;-528.490;-332.005;4445
42;RS;-527.490;-332.005;4374
43;RS;-526.490;-332.005;4408
44;RS;-535.490;-331.005;4523
45;RS;-534.490;-331.005;4537
46;RS;-533.490;-331.005;4523
47;RS;-532.490;-331.005;4471
48;RS;-531.490;-331.005;4433
49;RS;-530.490;-331.005;4425
50;RS;-529.490;-331.005;4420
51;RS;-528.490;-331.005;4437
52;RS;-527.490;-331.005;4436
53;RS;-526.490;-331.005;4409
54;RS;-525.490;-331.005;4471
55;RS;-534.490;-330.005;4515
56;RS;-533.490;-330.005;4549
57;RS;-532.490;-330.005;4510
58;RS;-531.490;-330.005;4454
59;RS;-530.490;-330.005;4439
60;RS;-529.490;-330.005;4430
61;RS;-528.490;-330.005;4444
62;RS;-527.490;-330.005;4444
63;RS;-526.490;-330.005;4431
64;RS;-525.490;-330.005;4433
65;RS;-533.490;-329.005;4496
66;RS;-532.490;-329.005;4534
67;RS;-531.490;-329.005;4498
68;RS;-530.490;-329.005;4471
69;RS;-529.490;-329.005;4484
70;RS;-528.490;-329.005;4505
71;RS;-527.490;-329.005;4476
72;RS;-526.490;-329.005;4432
73;RS;-525.490;-329.005;4432
74;RS;-524.490;-329.005;4488
75;RS;-531.490;-328.005;4526
76;RS;-530.490;-328.005;4522
77;RS;-529.490;-328.005;4550
78;RS;-528.490;-328.005;4561
79;RS;-527.490;-328.005;4520
80;RS;-526.490;-328.005;4438
81;RS;-525.490;-328.005;4430
82;RS;-524.490;-328.005;4459
83;RS;-531.490;-327.005;4503
84;RS;-530.490;-327.005;4537
85;RS;-529.490;-327.005;4563
86;RS;-528.490;-327.005;4571
87;RS;-527.490;-327.005;4556
88;RS;-526.490;-327.005;4475
89;RS;-525.490;-327.005;4434
90;RS;-524.490;-327.005;4433
91;RS;-534.490;-326.005;4432
92;RS;-533.490;-326.005;4431
93;RS;-532.490;-326.005;4421
94;RS;-531.490;-326.005;4438
95;RS;-530.490;-326.005;4474
96;RS;-529.490;-326.005;4527
97;RS;-528.490;-326.005;4551
98;RS;-527.490;-326.005;4552
99;RS;-526.490;-326.005;4498
100;RS;-525.490;-326.005;4431
101;RS;-524.490;-326.005;4436
102;RS;-523.490;-326.005;4488
